운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326)
사용중,삼환아파트 지하1층,공공용시설,"서울특별시 영등포구 여의대방로43나길 25(신길동, 삼환아파트)",서울특별시 영등포구 신길동 897-2 삼환아파트,지하,4657,5644,37.50729843,126.9193857
사용중,한성아파트 지하1층,공공용시설,"서울특별시 영등포구 가마산로 575(신길동, 한성아파트)",서울특별시 영등포구 신길동 769-1 한성아파트,지하,2281,2764,37.50427688,126.9202908
사용중,안국약품빌딩 지하1층 주차장,공공용시설,서울특별시 영등포구 시흥대로 613(대림동),서울특별시 영등포구 대림동 993-75,지하,667,808,37.48730647,126.9046815
사용중,신동아아파트 지하1층,공공용시설,"서울특별시 영등포구 가마산로 312, 3동 (대림동, 신동아아파트)",서울특별시 영등포구 대림동 777-1 신동아아파트,지하,3649.6,4423,37.49796078,126.8943769
사용중,"우성아파트 1동, 2동 지하1층",공공용시설,"서울특별시 영등포구 도림로 187(대림동, 우성아파트)",서울특별시 영등포구 대림동 762-1 우성아파트,지하,1230.84,1490,37.49616489,126.9016787
사용중,현대2차아파트 지하1층,공공용시설,"서울특별시 영등포구 도신로4길 6(대림동, 현대2차아파트)",서울특별시 영등포구 대림동 785 현대2차아파트,지하,4360.35,5285,37.5030636,126.8954824
사용중,현대3차아파트 지하1층,공공용시설,"서울특별시 영등포구 도신로 31(대림동, 현대3차아파트)",서울특별시 영등포구 대림동 608-1 현대3차아파트,지하,10219.46,12387,37.50476765,126.8966386
사용중,문영칸타빌레아파트 지하1~2층 주차장,공공용시설,"서울특별시 영등포구 도림천로 391(대림동, 대림동문영칸타빌레아파트)",서울특별시 영등포구 대림동 1061 대림동문영칸타빌레아파트,지하,7369,8932,37.48996752,126.8966762
사용중,코오롱아파트 지하1층,공공용시설,"서울특별시 영등포구 도영로 2-5(대림동, 대림동코오롱아파트)",서울특별시 영등포구 대림동 607-1 대림동코오롱아파트,지하,11867.39,14384,37.5069645,126.8943302
사용중,양평2동 거성아파트 지하1~2층,공공용시설,"서울특별시 영등포구 선유로43가길 24(양평동3가, 거성파스텔아파트)",서울특별시 영등포구 양평동3가 90-1 거성파스텔아파트,지하,20088.29,24349,37.53174142,126.8926005
